List of Pinball Machines

Title                                              Manufacturer                              Release Date
-----------------------------------------------------------------------------------------------------------------
Whiffle                                            Automatic Industries                      June 1931
Nippy                                              Chicago Coin                              October 1929
Baffle Ball                                        Gottlieb                                  November 1931
Ballyhoo                                           Bally                                     January 1932
Contact                                            Williams                                  1932
Play-Boy                                           Gottlieb                                  February 1932
Bank-A-Ball                                        J. F. Linck Corp.                         April 1932
Double-Shuffle                                     Hercules Novelty Co.                      April 1932
Tivoli JR.                                         American Sales                            February 1933
Phantom                                            Pacific Manufacturing Corporation         July 1937
Sprint                                             Bally                                     July 1937
Chief                                              Exhibit Supply Co                         1939
Airport                                            Genco                                     May 1939
Champion                                           Bally                                     August 1939
Conquest                                           Exhibit                                   November 1939
Dixie                                              Chicago Coin                              August 19, 1940
Argentine                                          Genco                                     August 1941
Laura                                              Williams                                  November 1945
Suspense                                           Williams                                  1946
Cyclone                                            Williams                                  April 1947
Tornado                                            Williams                                  May 1947
Big Inning                                         Bally                                     July 27, 1947
All Stars                                          Williams                                  August 1947
Amber                                              Williams                                  August 1947
Humpty Dumpty                                      Gottlieb                                  October 25, 1947
Carnival                                           Bally                                     1948
Caribbean                                          Genco                                     1948
Lady Robin Hood                                    Gottlieb                                  January 1948
Wisconsin                                          United                                    1948
Ali Baba                                           Gottlieb                                  June 1948
Alice in Wonderland                                Gottlieb                                  August 1948
Buccaneer                                          Gottlieb                                  October 1948
Aquacade                                           United                                    May 1949
Double-Shuffle                                     Gottlieb                                  June 1949
South Pachific                                     Genco                                     1950
Arizona                                            United                                    May 1950
Be-Bop                                             Exhibit Supply Co                         May 1950
Canasta                                            Genco                                     June 1950
Double-Feature                                     Gottlieb                                  December 1950
Knock Out                                          Gottlieb                                  December 1950
ABC                                                United                                    March 1951
Arcade                                             Williams                                  June 1951
Sea Jockeys                                        Williams                                  November 21, 1951
All-American Quarterback                           Williams                                  1952
All Star Basketball                                Gottlieb                                  January 1952
8 Ball                                             Williams                                  February 1952
Slugfest                                           Williams                                  March 14, 1952
Caravan                                            Williams                                  June 27, 1952
Across the Board                                   United                                    September 1952
Chinatown                                          Gottlieb                                  October 1952
Grand Champion                                     Williams                                  August 18, 1953
Arabian Knights                                    Gottlieb                                  November 1953
Dealer                                             Williams                                  December 1953
All Star Baseball                                  Williams                                  February 1954
Daffy Derby                                        Williams                                  June 1954
Daisy May                                          Gottlieb                                  June 1954
Dragonette                                         Gottlieb                                  June 1954
4-Belles                                           Gottlieb                                  October 1954
