game,name,link,affiliation,gender,race,role,games,status
Fallout 1,Fallout characters,https://fallout.fandom.com/wiki/Fallout_characters,,,,,,
Fallout 1,Fallout doctors,https://fallout.fandom.com/wiki/Fallout_doctors,,,,,,
Fallout 1,Fallout merchants,https://fallout.fandom.com/wiki/Fallout_merchants,,,,,,
Fallout 1,Abel,https://fallout.fandom.com/wiki/Abel,Master's Army,Male,Super mutant,Guard,,
Fallout 1,Adytum citizen,https://fallout.fandom.com/wiki/Adytum_citizen,Adytum,"Male, Female",Human,Townsfolk,,
Fallout 1,Albert Cole,https://fallout.fandom.com/wiki/Albert_Cole,Vault 13,Male,Human,Player character,,
Fallout 1,Alya,https://fallout.fandom.com/wiki/Alya,Khans,Female,Human,"Garl, 's tactician",,
Fallout 1,Andrew (Fallout),https://fallout.fandom.com/wiki/Andrew_(Fallout),Junktown,Male,Human,Prison guard,,
Fallout 1,Anthony (Lost Hills),https://fallout.fandom.com/wiki/Anthony_(Lost_Hills),Brotherhood of Steel,Male,Human,,,
Fallout 1,Aradesh,https://fallout.fandom.com/wiki/Aradesh,"Shady Sands, New California Republic",Male,Human,"Elder of Shady Sands, [, 2, ], Founder of the NCR, First NCR President (2189–2196), [, 3, ]",,"Missing, presumed deceased"
Fallout 1,Barry (Fallout),https://fallout.fandom.com/wiki/Barry_(Fallout),Unity,Male,Super mutant,Guard,,
Fallout 1,Bob (Fallout),https://fallout.fandom.com/wiki/Bob_(Fallout),Gizmo,Male,Human,Gambler,,
Fallout 1,Boxing guard,https://fallout.fandom.com/wiki/Boxing_guard,Gustofer,Male,Human,Guard,,
Fallout 1,Brenden,https://fallout.fandom.com/wiki/Brenden,Brotherhood of Steel,Male,Human,,,
Fallout 1,Brotherhood guard,https://fallout.fandom.com/wiki/Brotherhood_guard,Brotherhood of Steel,"Male, Female",,Guard,,
Fallout 1,Brotherhood student,https://fallout.fandom.com/wiki/Brotherhood_student,Brotherhood of Steel,"Male, Female",Human,Trainees,,
Fallout 1,Brotherhood supply guard,https://fallout.fandom.com/wiki/Brotherhood_supply_guard,Brotherhood of Steel,"Male, Female",Human,Supply guard,,
Fallout 1,Cabbot,https://fallout.fandom.com/wiki/Cabbot,Brotherhood of Steel,Male,Human,Guard,,
Fallout 1,Calder,https://fallout.fandom.com/wiki/Calder,"Children of the Cathedral, Unity",Male,Human,Flower child,,
